label,text
false,Says the Annies List political group supports third-trimester abortions on demand.
false,Health care reform legislation is likely to mandate free sex change surgeries.
true,The Chicago Bears have had more starting quarterbacks in the last 10 years than the total number of tenured (UW) faculty fired during the last two decades.
false,"When Mitt Romney was governor of Massachusetts, we didnt just slow the rate of growth of our government, we actually cut it."
true,McCain opposed a requirement that the government buy American-made motorcycles. And he said all buy-American provisions were quote 'disgraceful.' 
false,Women and men both are making less when you adjust for inflation than when John Kitzhaber was first elected governor.
false,I dont know who (Jonathan Gruber) is.
false,"ISIS supporter tweeted at 10:34 a.m. Shooting began at 10:45 a.m. in Chattanooga, Tenn."
true,Says Paul Ryan is still endorsing Trump.
false,What (the Obama administration is) going to come out with in the next several months is youre not even going to be able to burn coal very limitedly in the existing plants.
true,We have a federal government that thinks they have the authority to regulate our toilet seats.
true,Austin is a city that has basically doubled in size every 25 years or so since it was founded.
true,"The nuclear test conducted in our nation this time is the Earth's 2,054th nuclear test. The five permanent members of the U.N. Security Council have conducted 99.99 percent of the total nuclear tests."
true,"Under President George W. Bush, we added $4.9 trillion to the debt. Under President Obama weve added $6.5 trillion to the debt."
false,Says a U.S. Supreme Court justice suggested that some U.S. cases will be decided based on South African law.
false,We have a director of homeland security who cannot use and will not use the term 'terrorist attack' but instead substitutes 'man-made disaster.' 
false,President Barack Obama took exactly none of his own deficit reduction commissions ideas. Not one.
true,Hillary Clinton in 2005 co-sponsored legislation that would jail flag burners.
false,Says Terry McAuliffe is the person who invented the scheme to rent out the Lincoln Bedroom.
true,"We created 800,000 new jobs, we cut the unemployment rate almost in half and today New York State has more private sector jobs than it has ever had in its history"
false,Sen. Obama's campaign announced that he's choosing his cabinet.
false,Only 2 percent of public high schools in the country offer PE classes.
true,"On military recruiters at Harvard, Elena Kagan ""took a position and the Supreme Court ruled unanimously that she was wrong."""
false,"Under Mayor Cicilline, [Providence] was a sanctuary city."
true,"At Bain Capital, we helped start an early childhood learning company called Bright Horizons that First Lady Michelle Obama rightly praised."
false,"Says the man who rushed the stage at him in Dayton, Ohio, had chatter about ISIS, or with ISIS in his social media posts."
true,"If you take the population growth here in Virginia, we are net zero on job creation since (Bob McDonnell) became governor."
true,"During the recession, the consumer in his native perversity has begun to save. The savings rate is now 6.2 percent."
false,On whether a U.S. Supreme Court nominee should be forthcoming at confirmation hearings.
false,Says Charlie Crist supports cuts to the Medicare Advantage program.
true,Says Scott Brown co-sponsored legislation to let employers deny women coverage for birth control.
false,"In the past 20 years, Egypt has made great strides in political and democratic reform."
false,The amount of attention paid this week to Chris Christie makes the coverage of Benghazi ... pale in significance.
true,Says U.S. Rep. Steve Southerland voted to keep the shutdown going.
false,Austin is burdened by the fastest-growing tax increases of any major city in the nation.
